Transaction date,House age,Distance to the nearest station (m),Number of convenience stores,Latitude,Longitude,House price of unit area
02-09-12,13.3,4082.015,8,25.00705868,121.5616942,6.48867314
04-09-12,35.5,274.0144,2,25.01214826,121.5469898,24.97072465
05-09-12,1.1,1978.671,10,25.00384986,121.5283365,26.69426677
05-09-12,22.2,1055.067,5,24.962887,121.4821784,38.09163849
06-09-12,8.5,967.4,6,25.01103682,121.4799462,21.6547096
06-09-12,13.3,279.1726,2,24.99499354,121.5438234,36.97237579
06-09-12,38.5,377.7956,3,25.00989486,121.5589553,27.6373821
07-09-12,15.2,552.4371,5,24.99710934,121.5443775,44.11658501
07-09-12,24,617.4424,3,24.98762168,121.5278412,49.07124675
07-09-12,13,323.655,8,24.97866304,121.4834571,43.11435275
07-09-12,13.2,750.0704,5,24.93489597,121.5532889,32.74736266
07-09-12,6.5,289.3248,8,24.99309418,121.5014782,60.46035153
08-09-12,27.5,49.66105,9,24.96979399,121.5447769,58.16330444
09-09-12,12.9,373.8389,2,25.01166143,121.5106716,43.77117419
09-09-12,8,185.4296,5,24.93719703,121.5450593,40.25533345
11-09-12,4.9,639.6198,8,24.97546864,121.4765644,49.15705382
12-09-12,3.1,1360.139,5,24.95754044,121.5505921,13.67353159
12-09-12,10.3,4079.418,0,24.96029045,121.5482248,0
12-09-12,1.1,143.8383,4,24.97215779,121.4770057,56.25135518
14-09-12,13.7,193.5845,1,24.94355128,121.5154104,16.44401694
16-09-12,8.4,330.0854,6,24.96058183,121.4973468,47.35555099
19-09-12,31.3,1236.564,0,24.95706351,121.5447337,8.468854747
19-09-12,17.3,837.7233,6,24.95279903,121.4771533,52.76115275
19-09-12,14.1,193.5845,6,24.94856402,121.4880756,50.61249953
20-09-12,1.5,197.1338,0,24.98777578,121.4774391,12.5702765
20-09-12,16.1,3771.895,9,24.9707859,121.5452953,0
21-09-12,34.4,2408.993,3,24.99444419,121.5093054,22.91559838
22-09-12,18.2,519.4617,0,24.93804633,121.5522142,9.426271813
22-09-12,11.9,1978.671,7,24.99480823,121.5204076,25.88302273
22-09-12,5.4,1939.749,1,24.98419941,121.4755396,4.266377177
23-09-12,9.7,170.7311,3,24.99087701,121.5128241,27.20664522
23-09-12,38.5,1828.319,4,24.9970651,121.512329,15.5643239
24-09-12,32.8,258.186,3,24.99477474,121.510337,30.85539137
24-09-12,31,289.3248,2,24.9446364,121.476227,34.06650015
26-09-12,34.8,1156.777,0,24.9643233,121.5597265,18.41025026
27-09-12,9.9,4510.359,10,24.98221114,121.5490572,1.102852363
28-09-12,5.9,482.7581,5,24.94829725,121.5130819,31.43092068
29-09-12,37.1,461.1016,8,24.95407645,121.4900054,47.02921199
30-09-12,26.8,279.1726,4,24.98297993,121.4957039,29.48443087
01-10-12,30.4,1447.286,8,24.96259751,121.5358766,19.5472047
02-10-12,4,492.2313,9,24.95994863,121.5523771,26.33933576
03-10-12,5.4,90.45606,2,24.96891904,121.4767749,51.41138556
03-10-12,25.3,537.7971,4,25.01338189,121.4813469,48.54988028
03-10-12,16.4,1449.722,1,24.97434583,121.5469264,10.36893366
04-10-12,26.4,2615.465,7,24.94893492,121.4918407,20.58773654
04-10-12,8,405.2134,4,24.9936867,121.5299532,34.21865577
04-10-12,19.2,488.5727,1,24.94387683,121.5553412,39.28268043
05-10-12,30.3,1013.341,6,24.93467554,121.4944715,13.06073818
08-10-12,12.9,90.45606,9,24.93668959,121.4937013,36.4262787
10-10-12,13.5,2175.03,0,24.98582906,121.4953206,0
10-10-12,13.2,707.9067,6,24.99785939,121.4985328,29.76962852
10-10-12,8.1,373.8389,3,24.96410171,121.5646385,43.07206862
11-10-12,32.3,379.5575,4,24.98360353,121.5367396,36.17835788
12-10-12,38,4197.349,8,24.98514676,121.5593931,22.21030128
14-10-12,13,1159.454,6,24.94830167,121.5381399,38.90638549
14-10-12,34.4,414.9476,0,24.9567116,121.4886711,31.59628454
15-10-12,34.4,90.45606,1,24.94667072,121.555846,16.89875516
15-10-12,24.2,3078.176,5,24.93681248,121.4823517,0
15-10-12,13.2,204.1705,1,24.96757303,121.5505179,47.25603168
15-10-12,16.1,1867.233,4,24.99717954,121.5599689,26.53102136
16-10-12,5.6,2707.392,6,24.97085388,121.4966967,0.439332089
17-10-12,14.2,4082.015,6,24.93825252,121.4811714,10.60066495
17-10-12,3.8,393.2606,9,24.97452344,121.5288017,33.66850037
19-10-12,38.2,4082.015,1,24.99638681,121.4778317,0
19-10-12,25.3,1712.632,7,24.97384577,121.4982257,39.70830599
20-10-12,15.6,124.9912,4,24.99387525,121.4841221,54.33071172
20-10-12,26.8,918.6357,0,24.96011385,121.5206302,37.56244494
21-10-12,0,279.1726,5,24.98562809,121.5247019,23.10016713
24-10-12,18.9,6306.153,5,25.00618212,121.5605288,0
24-10-12,16.6,394.0173,5,24.9697705,121.5286527,34.91191452
24-10-12,7.6,3771.895,3,24.98937138,121.494687,8.784265127
25-10-12,12,2408.993,9,24.93284364,121.5510656,25.69646295
25-10-12,6.6,461.1016,4,24.93558667,121.4743979,45.2974607
26-10-12,37.1,1402.016,8,24.97320899,121.5210472,38.67655041
28-10-12,25.3,577.9615,5,24.98591548,121.5334037,20.16895031
31-10-12,11.6,186.9686,3,24.94076534,121.5012944,33.01791658
31-10-12,25.9,1931.207,9,25.01274015,121.5011039,38.01299433
01-11-12,29.4,201.8939,8,25.01368493,121.5336716,29.71119022
01-11-12,17.5,492.2313,5,25.00834258,121.5316479,21.01262993
02-11-12,32.6,289.3248,10,25.01282857,121.5458438,38.30368728
02-11-12,24.2,506.1144,3,24.96756562,121.549018,27.69035178
02-11-12,16.3,4510.359,7,24.93328972,121.494506,0
02-11-12,16.1,489.8821,5,24.94228562,121.4831658,28.19168613
03-11-12,0,1805.665,0,24.97965571,121.4783986,29.95679839
06-11-12,31.3,512.5487,7,24.93212707,121.5237032,47.74342784
06-11-12,39.2,371.2495,4,24.94440662,121.5453004,19.13224459
07-11-12,0,187.4823,0,24.9588108,121.4985449,18.39107727
09-11-12,18.4,390.5684,9,24.99901508,121.5246806,42.19357532
10-11-12,33,4449.27,9,25.00642117,121.5432131,3.957364719
10-11-12,13,421.479,0,24.93212916,121.4763012,32.12698068
10-11-12,17.7,1712.632,8,24.98334732,121.4739871,32.43492491
